Region,Region_EN,Total,Purpose_Declared_Total,Work,Study,Private Visit,Business Trip,Tourism/Leisure,Transit,Other Purpose,Purpose_Not_Declared_Total
Алтайский край,Altajskij kraj,643.0,636.0,417.0,94.0,107.0,8.0,2.0,0.0,8.0,7.0
Амурская область,Amurskaja oblast',1144.0,1140.0,957.0,32.0,138.0,5.0,0.0,0.0,8.0,4.0
Архангельская область,Arhangel'skaja oblast',35.0,35.0,20.0,4.0,9.0,0.0,0.0,0.0,2.0,0.0
Астраханская область,Astrahanskaja oblast',39.0,39.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Белгородская область,Belgorodskaja oblast',76.0,76.0,9.0,61.0,3.0,0.0,0.0,1.0,2.0,0.0
Брянская область,Brjanskaja oblast',19.0,19.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
Владимирская область,Vladimirskaja oblast',138.0,138.0,116.0,3.0,4.0,0.0,0.0,0.0,15.0,0.0
Волгоградская область,Volgogradskaja oblast',672.0,667.0,584.0,7.0,63.0,0.0,1.0,2.0,10.0,5.0
Вологодская область,Vologodskaja oblast',36.0,36.0,27.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0
Воронежская область,Voronezhskaja oblast',1040.0,1039.0,744.0,162.0,84.0,1.0,15.0,6.0,27.0,1.0
Еврейская автономная область,Evrejskaja avtonomnaja oblast',16.0,16.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
Забайкальский край,Zabajkal'skij kraj,222.0,222.0,217.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Ивановская область,Ivanovskaja oblast',26.0,26.0,16.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
Иркутская область,Irkutskaja oblast',354.0,341.0,299.0,16.0,15.0,0.0,1.0,0.0,10.0,13.0
Кабардино-Балкарская республика,Kabardino-Balkar Republic,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Калининградская область,Kaliningradskaja oblast',74.0,74.0,63.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0
Калужская область,Kaluzhskaja oblast',939.0,792.0,601.0,44.0,96.0,3.0,2.0,1.0,45.0,147.0
Камчатский край,Kamchatskij kraj,150.0,149.0,130.0,5.0,2.0,0.0,1.0,0.0,11.0,1.0
Карачаево-Черкесская республика,Karachay-Cherkess Republic,18.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Кемеровская область,Kemerovskaja oblast' - Kuzbass,120.0,120.0,73.0,32.0,10.0,1.0,0.0,0.0,4.0,0.0
Кировская область,Kirovskaja oblast',211.0,211.0,197.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0
Костромская область,Kostromskaja oblast',126.0,126.0,117.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Краснодарский край,Krasnodarskij kraj,145.0,142.0,120.0,6.0,11.0,3.0,0.0,0.0,2.0,3.0
Красноярский край,Krasnojarskij kraj,413.0,399.0,322.0,37.0,12.0,0.0,1.0,2.0,25.0,14.0
Курганская область,Kurganskaja oblast',60.0,59.0,39.0,13.0,3.0,0.0,0.0,0.0,4.0,1.0
Курская область,Kurskaja oblast',33.0,33.0,16.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
Ленинградская область,Leningradskaja oblast',420.0,420.0,363.0,19.0,25.0,0.0,1.0,0.0,12.0,0.0
Липецкая область,Lipetskaja oblast',32.0,32.0,20.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0
Магаданская область,Magadanskaja oblast',161.0,161.0,159.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Московская область,Moskovskaja oblast',13884.0,13276.0,11522.0,405.0,572.0,146.0,106.0,65.0,460.0,608.0
Мурманская область,Murmanskaja oblast',250.0,249.0,247.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Ненецкий автономный округ,Nenetskij avtonomnyj okrug,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нижегородская область,Nizhegorodskaja oblast',134.0,133.0,123.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
Новгородская область,Novgorodskaja oblast',55.0,55.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
Новосибирская область,Novosibirskaja oblast',349.0,341.0,234.0,56.0,22.0,1.0,1.0,0.0,27.0,8.0
Омская область,Omskaja oblast',131.0,129.0,109.0,10.0,8.0,0.0,0.0,0.0,2.0,2.0
Оренбургская область,Orenburgskaja oblast',258.0,257.0,180.0,8.0,41.0,0.0,0.0,15.0,13.0,1.0
Орловская область,Orlovskaja oblast',41.0,41.0,7.0,31.0,2.0,0.0,0.0,0.0,1.0,0.0
Пензенская область,Penzenskaja oblast',293.0,293.0,120.0,123.0,34.0,0.0,1.0,0.0,15.0,0.0
Пермский край,Permskij kraj,209.0,209.0,160.0,20.0,6.0,0.0,2.0,0.0,21.0,0.0
Приморский край,Primorskij kraj,776.0,776.0,685.0,16.0,15.0,0.0,0.0,0.0,60.0,0.0
Псковская область,Pskovskaja oblast',21.0,21.0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
Адыгея,Republic of Adygea,193.0,193.0,60.0,110.0,13.0,1.0,1.0,0.0,8.0,0.0
Алтай,Altai Republic,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Башкортостан,Republic of Bashkortostan,164.0,164.0,127.0,14.0,10.0,0.0,2.0,0.0,11.0,0.0
Дагестан,Republic of Dagestan,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ингушетия,Republic of Ingushetia,31.0,28.0,19.0,3.0,1.0,0.0,0.0,0.0,5.0,3.0
Республика Калмыкия,Republic of Kalmykia,7.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Республика Карелия,Republic of Karelia,61.0,61.0,57.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Республика Коми,Komi Republic,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Марий Эл,Republic of Mari El,153.0,151.0,3.0,146.0,1.0,1.0,0.0,0.0,0.0,2.0
Республика Мордовия,Republic of Mordovia,28.0,28.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Северная Осетия - Алания,Republic of North Ossetia–Alania,38.0,38.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Татарстан,Republic of Tatarstan,2786.0,2771.0,1853.0,193.0,672.0,2.0,9.0,0.0,42.0,15.0
Тыва,Tuva Republic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Республика Хакасия,Khakassia Republic,67.0,67.0,58.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
Ростовская область,Rostovskaja oblast',418.0,409.0,330.0,17.0,43.0,0.0,1.0,2.0,16.0,9.0
Рязанская область,Rjazanskaja oblast',1046.0,1044.0,974.0,9.0,42.0,0.0,0.0,13.0,6.0,2.0
Самарская область,Samarskaja oblast',837.0,829.0,663.0,42.0,88.0,1.0,2.0,1.0,32.0,8.0
Саратовская область,Saratovskaja oblast',82.0,82.0,46.0,11.0,18.0,1.0,1.0,4.0,1.0,0.0
Сахалинская область,Sahalinskaja oblast',113.0,110.0,102.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0
Свердловская область,Sverdlovskaja oblast',1850.0,1784.0,1559.0,118.0,44.0,3.0,8.0,1.0,51.0,66.0
Смоленская область,Smolenskaja oblast',77.0,72.0,59.0,9.0,1.0,0.0,0.0,0.0,3.0,5.0
Ставропольский край,Stavropol'skij kraj,17.0,17.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
Тамбовская область,Tambovskaja oblast',123.0,121.0,74.0,9.0,9.0,0.0,0.0,0.0,29.0,2.0
Тверская область,Tverskaja oblast',283.0,282.0,160.0,81.0,18.0,0.0,4.0,5.0,14.0,1.0
Томская область,Tomskaja oblast',29.0,29.0,7.0,15.0,6.0,0.0,0.0,0.0,1.0,0.0
Тульская область,Tul'skaja oblast',463.0,439.0,382.0,17.0,15.0,1.0,3.0,2.0,19.0,24.0
Тюменская область,Tjumenskaja oblast',827.0,755.0,546.0,83.0,70.0,2.0,5.0,0.0,49.0,72.0
Удмуртская республика,Udmurt Republic,68.0,68.0,50.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0
Ульяновская область,Ul'janovskaja oblast',115.0,114.0,17.0,89.0,4.0,0.0,0.0,0.0,4.0,1.0
Хабаровский край,Habarovskij kraj,217.0,217.0,64.0,144.0,0.0,0.0,0.0,0.0,9.0,0.0
Ханты-Мансийский автономный округ - Югра,Hanty-Mansijskij avtonomnyj okrug - Jugra,464.0,402.0,297.0,21.0,53.0,1.0,2.0,0.0,28.0,62.0
Челябинская область,Cheljabinskaja oblast',740.0,711.0,458.0,110.0,32.0,16.0,26.0,28.0,41.0,29.0
Чеченская республика,Chechen Republic,216.0,216.0,164.0,7.0,22.0,0.0,0.0,19.0,4.0,0.0
Чувашия,Chuvash Republic,30.0,30.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Чукотский автономный округ,Chukotskij avtonomnyj okrug,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ямало-Ненецкий автономный округ,Jamalo-Nenetskij avtonomnyj okrug,45.0,42.0,34.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0
Ярославская область,Jaroslavskaja oblast',72.0,72.0,59.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
Москва,g. Moskva,6093.0,5943.0,4899.0,258.0,230.0,116.0,276.0,70.0,94.0,150.0
