Region_EN,Total,Work,Study,Private Visit,Business Trip,Other
Altajskij kraj,643.0,417.0,94.0,107.0,8.0,10.0
Amurskaja oblast',1144.0,957.0,32.0,138.0,5.0,8.0
Arhangel'skaja oblast',35.0,20.0,4.0,9.0,0.0,2.0
Astrahanskaja oblast',39.0,35.0,4.0,0.0,0.0,0.0
Belgorodskaja oblast',76.0,9.0,61.0,3.0,0.0,3.0
Brjanskaja oblast',19.0,11.0,7.0,0.0,0.0,1.0
Vladimirskaja oblast',138.0,116.0,3.0,4.0,0.0,15.0
Volgogradskaja oblast',672.0,584.0,7.0,63.0,0.0,13.0
Vologodskaja oblast',36.0,27.0,1.0,6.0,0.0,2.0
Voronezhskaja oblast',1040.0,744.0,162.0,84.0,1.0,48.0
Evrejskaja avtonomnaja oblast',16.0,12.0,0.0,1.0,0.0,3.0
Zabajkal'skij kraj,222.0,217.0,2.0,2.0,1.0,0.0
Ivanovskaja oblast',26.0,16.0,6.0,4.0,0.0,0.0
Irkutskaja oblast',354.0,299.0,16.0,15.0,0.0,11.0
Kabardino-Balkar Republic,5.0,5.0,0.0,0.0,0.0,0.0
Kaliningradskaja oblast',74.0,63.0,9.0,0.0,0.0,2.0
Kaluzhskaja oblast',939.0,601.0,44.0,96.0,3.0,48.0
Kamchatskij kraj,150.0,130.0,5.0,2.0,0.0,12.0
Karachay-Cherkess Republic,18.0,16.0,2.0,0.0,0.0,0.0
Kemerovskaja oblast' - Kuzbass,120.0,73.0,32.0,10.0,1.0,4.0
Kirovskaja oblast',211.0,197.0,5.0,9.0,0.0,0.0
Kostromskaja oblast',126.0,117.0,8.0,1.0,0.0,0.0
Krasnodarskij kraj,145.0,120.0,6.0,11.0,3.0,2.0
Krasnojarskij kraj,413.0,322.0,37.0,12.0,0.0,28.0
Kurganskaja oblast',60.0,39.0,13.0,3.0,0.0,4.0
Kurskaja oblast',33.0,16.0,14.0,3.0,0.0,0.0
Leningradskaja oblast',420.0,363.0,19.0,25.0,0.0,13.0
Lipetskaja oblast',32.0,20.0,4.0,4.0,0.0,4.0
Magadanskaja oblast',161.0,159.0,2.0,0.0,0.0,0.0
Moskovskaja oblast',13884.0,11522.0,405.0,572.0,146.0,631.0
Murmanskaja oblast',250.0,247.0,0.0,1.0,0.0,1.0
Nenetskij avtonomnyj okrug,3.0,3.0,0.0,0.0,0.0,0.0
Nizhegorodskaja oblast',134.0,123.0,2.0,1.0,0.0,7.0
Novgorodskaja oblast',55.0,23.0,32.0,0.0,0.0,0.0
Novosibirskaja oblast',349.0,234.0,56.0,22.0,1.0,28.0
Omskaja oblast',131.0,109.0,10.0,8.0,0.0,2.0
Orenburgskaja oblast',258.0,180.0,8.0,41.0,0.0,28.0
Orlovskaja oblast',41.0,7.0,31.0,2.0,0.0,1.0
Penzenskaja oblast',293.0,120.0,123.0,34.0,0.0,16.0
Permskij kraj,209.0,160.0,20.0,6.0,0.0,23.0
Primorskij kraj,776.0,685.0,16.0,15.0,0.0,60.0
Pskovskaja oblast',21.0,16.0,4.0,0.0,0.0,1.0
Republic of Adygea,193.0,60.0,110.0,13.0,1.0,9.0
Altai Republic,14.0,14.0,0.0,0.0,0.0,0.0
Republic of Bashkortostan,164.0,127.0,14.0,10.0,0.0,13.0
Republic of Dagestan,4.0,2.0,0.0,0.0,0.0,0.0
Republic of Ingushetia,31.0,19.0,3.0,1.0,0.0,5.0
Republic of Kalmykia,7.0,5.0,0.0,2.0,0.0,0.0
Republic of Karelia,61.0,57.0,2.0,0.0,0.0,2.0
Komi Republic,10.0,9.0,0.0,0.0,0.0,0.0
Republic of Mari El,153.0,3.0,146.0,1.0,1.0,0.0
Republic of Mordovia,28.0,26.0,2.0,0.0,0.0,0.0
Republic of North Ossetia–Alania,38.0,36.0,2.0,0.0,0.0,0.0
Republic of Tatarstan,2786.0,1853.0,193.0,672.0,2.0,51.0
Tuva Republic,1.0,1.0,0.0,0.0,0.0,0.0
Khakassia Republic,67.0,58.0,0.0,3.0,0.0,6.0
Rostovskaja oblast',418.0,330.0,17.0,43.0,0.0,19.0
Rjazanskaja oblast',1046.0,974.0,9.0,42.0,0.0,19.0
Samarskaja oblast',837.0,663.0,42.0,88.0,1.0,35.0
Saratovskaja oblast',82.0,46.0,11.0,18.0,1.0,6.0
Sahalinskaja oblast',113.0,102.0,1.0,1.0,0.0,6.0
Sverdlovskaja oblast',1850.0,1559.0,118.0,44.0,3.0,60.0
Smolenskaja oblast',77.0,59.0,9.0,1.0,0.0,3.0
Stavropol'skij kraj,17.0,11.0,4.0,0.0,0.0,2.0
Tambovskaja oblast',123.0,74.0,9.0,9.0,0.0,29.0
Tverskaja oblast',283.0,160.0,81.0,18.0,0.0,23.0
Tomskaja oblast',29.0,7.0,15.0,6.0,0.0,1.0
Tul'skaja oblast',463.0,382.0,17.0,15.0,1.0,24.0
Tjumenskaja oblast',827.0,546.0,83.0,70.0,2.0,54.0
Udmurt Republic,68.0,50.0,11.0,4.0,0.0,3.0
Ul'janovskaja oblast',115.0,17.0,89.0,4.0,0.0,4.0
Habarovskij kraj,217.0,64.0,144.0,0.0,0.0,9.0
Hanty-Mansijskij avtonomnyj okrug - Jugra,464.0,297.0,21.0,53.0,1.0,30.0
Cheljabinskaja oblast',740.0,458.0,110.0,32.0,16.0,95.0
Chechen Republic,216.0,164.0,7.0,22.0,0.0,23.0
Chuvash Republic,30.0,13.0,17.0,0.0,0.0,0.0
Chukotskij avtonomnyj okrug,22.0,22.0,0.0,0.0,0.0,0.0
Jamalo-Nenetskij avtonomnyj okrug,45.0,34.0,4.0,1.0,0.0,3.0
Jaroslavskaja oblast',72.0,59.0,9.0,4.0,0.0,0.0
g. Moskva,6093.0,4899.0,258.0,230.0,116.0,440.0
